2021-02-06 20:08:41,669 (INFO) ================== new session ==================
2021-02-06 20:08:41,672 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service] Initialization
2021-02-06 20:08:41,676 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Extension Service] Initialization
2021-02-06 20:08:41,677 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Game Service] Initialization
2021-02-06 20:08:41,681 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Hotkey Service] Initialization
2021-02-06 20:08:41,770 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Window Service] Initialization
2021-02-06 20:08:42,573 (WARN) </windows/background.html> () - A cookie associated with a cross-site resource at https://doubleclick.net/ was set without the `SameSite` attribute. A future release of Chrome will only deliver cookies with cross-site requests if they are set with `SameSite=None` and `Secure`. You can review cookies in developer tools under Application>Storage>Cookies and see more details at https://www.chromestatus.com/feature/5088147346030592 and https://www.chromestatus.com/feature/5633521622188032.
2021-02-06 20:08:42,594 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Extension Service] Event listeners have been enabled
2021-02-06 20:08:42,610 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Window Service] Event listeners have been enabled
2021-02-06 20:08:42,653 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Hotkey Service] Event listeners have been enabled
2021-02-06 20:08:42,658 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Game Service] Event listeners have been enabled
2021-02-06 20:08:42,675 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service] Setting required features: ["me","match_info","location","inventory","rank","match_state","team","roster","kill_feed","kill","death","revive","damage"]
2021-02-06 20:08:42,784 (WARN) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service] Failed to set required features: Provider did not set features yet. (Retrying in 5 seconds.)
2021-02-06 20:08:42,807 (WARN) </windows/background.html> () - A cookie associated with a cross-site resource at http://overwolf.com/ was set without the `SameSite` attribute. A future release of Chrome will only deliver cookies with cross-site requests if they are set with `SameSite=None` and `Secure`. You can review cookies in developer tools under Application>Storage>Cookies and see more details at https://www.chromestatus.com/feature/5088147346030592 and https://www.chromestatus.com/feature/5633521622188032.
2021-02-06 20:08:43,391 (WARN) </windows/background.html> () - A cookie associated with a cross-site resource at https://tracker.gg/ was set without the `SameSite` attribute. A future release of Chrome will only deliver cookies with cross-site requests if they are set with `SameSite=None` and `Secure`. You can review cookies in developer tools under Application>Storage>Cookies and see more details at https://www.chromestatus.com/feature/5088147346030592 and https://www.chromestatus.com/feature/5633521622188032.
2021-02-06 20:08:43,468 (WARN) </windows/background.html> () - A cookie associated with a cross-site resource at http://thetrackernetwork.com/ was set without the `SameSite` attribute. A future release of Chrome will only deliver cookies with cross-site requests if they are set with `SameSite=None` and `Secure`. You can review cookies in developer tools under Application>Storage>Cookies and see more details at https://www.chromestatus.com/feature/5088147346030592 and https://www.chromestatus.com/feature/5633521622188032.
2021-02-06 20:08:47,798 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service] Setting required features: ["me","match_info","location","inventory","rank","match_state","team","roster","kill_feed","kill","death","revive","damage"]
2021-02-06 20:08:47,816 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service] Required features have been set: ["rank","match_state","kill","death","team","me","location","revive","roster","kill_feed","match_info","inventory","damage"]
2021-02-06 20:08:47,819 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service] Event listeners have been enabled
2021-02-06 20:08:52,782 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Extension Service] Update status: UpToDate
2021-02-06 20:08:54,729 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"me":{"name":"CannonDeLuce"}},"feature":"me"}
2021-02-06 20:08:54,736 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"game_mode":"#PL_TRIO"}},"feature":"match_info"}
2021-02-06 20:09:57,836 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_0":"{\"name\":\"Darkpigeon69\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:57,843 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"teammate_0":"{\"name\":\"CannonDeLuce\",\"state\":\"alive\"}"}},"feature":"team"}
2021-02-06 20:09:57,848 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_1":"{\"name\":\"CannonDeLuce\",\"isTeammate\":true}"}},"feature":"roster"}
2021-02-06 20:09:57,852 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_2":"{\"name\":\"Ghost_Gallery\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:57,852 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_3":"{\"name\":\"Mayo\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:57,911 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_4":"{\"name\":\"EdwardHuncho\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:57,924 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_5":"{\"name\":\"Webs\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:57,928 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_6":"{\"name\":\"Blueshell\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:57,961 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_8":"{\"name\":\"Impact_Shinyy\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,037 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_9":"{\"name\":\"Josue5845\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,063 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_10":"{\"name\":\"Seraphim\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,139 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_11":"{\"name\":\"lhchase9\",\"isTeammate\":false}"}},"feature":"roster"}
2021-02-06 20:09:58,166 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"teammate_1":"{\"name\":\"jononthemoon\",\"state\":\"alive\"}"}},"feature":"team"}
2021-02-06 20:09:58,293 (INFO) </js/chunk-vendors.js> (:1) - [Overwolf | Event Service | Info Update] {"info":{"match_info":{"roster_12":"{\"name\":\"jononthemoon\",\"isTeammate\":true}"}},"feature":"roster"}
